Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
28	:	1777110391.470	     0.214	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/evadeV-12-4-0-401.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 27 --exact --conditional:algorithm bisection
27	:	1777110390.838	     1.417	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/evadeV-12-4-0-401.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 26 --exact --conditional:algorithm bisection
18	:	1777110387.973	     4.294	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-25-20-9-51.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 17 --exact --conditional:algorithm restart
22	:	1777110389.885	     2.653	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-25-20-9-51.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 21 --conditional:precision 1e-6 --conditional:algorithm restart
32	:	1777110392.541	     0.178	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/evadeV-12-4-0-401.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 31 --conditional:precision 1e-6 --conditional:algorithm bisection
23	:	1777110390.219	     2.661	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-25-20-9-51.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 22 --conditional:precision 1e-6 --conditional:algorithm restart
33	:	1777110392.722	     0.170	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/evadeV-12-4-0-401.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 32 --conditional:precision 1e-6 --conditional:algorithm bisection
31	:	1777110392.271	     0.730	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/evadeV-12-4-0-401.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 30 --exact --conditional:algorithm restart
30	:	1777110392.259	     0.756	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/evadeV-12-4-0-401.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 29 --exact --conditional:algorithm restart
34	:	1777110392.883	     0.183	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/evadeV-12-4-0-401.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 33 --conditional:precision 1e-6 --conditional:algorithm bisection-pt
