Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
27	:	1776957309.159	     0.136	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 26 --conditional:precision 1e-6 --conditional:algorithm bisection-advanced-pt
6	:	1776957309.005	     0.292	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 5 --exact --conditional:algorithm bisection-pt
28	:	1776957309.162	     0.141	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 27 --conditional:precision 1e-6 --conditional:algorithm bisection-advanced-pt
30	:	1776957309.168	     0.138	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 29 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
32	:	1776957309.175	     0.160	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 31 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
29	:	1776957309.166	     0.177	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 28 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
33	:	1776957309.177	     0.184	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 32 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-pt
1	:	1776957308.996	     0.398	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 0 --exact --conditional:algorithm bisection
5	:	1776957309.003	     0.391	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 4 --exact --conditional:algorithm bisection-pt
35	:	1776957309.247	     0.157	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 34 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-advanced
37	:	1776957309.257	     0.156	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 36 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-advanced-pt
40	:	1776957309.267	     0.148	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 39 --exact --conditional:algorithm bisection
43	:	1776957309.298	     0.143	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 42 --exact --conditional:algorithm bisection-pt
42	:	1776957309.295	     0.146	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 41 --exact --conditional:algorithm bisection
45	:	1776957309.306	     0.151	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 44 --exact --conditional:algorithm restart
46	:	1776957309.311	     0.145	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 45 --exact --conditional:algorithm restart
31	:	1776957309.171	     0.296	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 30 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
34	:	1776957309.186	     0.296	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 33 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-pt
54	:	1776957309.419	     0.103	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 53 --conditional:precision 1e-6 --conditional:algorithm bisection
