Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
24	:	1769372185.964	     0.181	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 23 --minmax:precision 1e-6 -condtol 1e-6 --conditional restart
1	:	1769372185.777	     0.371	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 0 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection
5	:	1769372185.784	     0.369	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 4 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection-pt
27	:	1769372185.983	     0.177	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 26 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced-pt
26	:	1769372185.980	     0.180	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 25 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced
25	:	1769372185.977	     0.190	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 24 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced
30	:	1769372185.989	     0.181	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 29 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
32	:	1769372185.992	     0.200	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 31 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
33	:	1769372185.994	     0.206	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 32 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-pt
28	:	1769372185.985	     0.217	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 27 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced-pt
29	:	1769372185.987	     0.216	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 28 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
35	:	1769372186.046	     0.193	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 34 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced
37	:	1769372186.054	     0.195	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 36 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced-pt
40	:	1769372186.080	     0.200	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 39 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection
31	:	1769372185.991	     0.289	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 30 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
